location_name,datetimeLocal,unit,no2,o3,pm10,pm25,so2
Hull Freetown - UKA00450,2024-01-21T00:01:00Z,µg/m³,11,48,6,3,3
Hull Freetown - UKA00450,2024-01-21T00:02:00Z,µg/m³,10,49,6,4,3
Hull Freetown - UKA00450,2024-01-21T00:03:00Z,µg/m³,8,52,6,4,3
Hull Freetown - UKA00450,2024-01-21T00:04:00Z,µg/m³,7,54,6,4,3
Hull Freetown - UKA00450,2024-01-21T00:05:00Z,µg/m³,3,56,6,4,3
Hull Freetown - UKA00450,2024-01-21T00:06:00Z,µg/m³,2,59,6,4,3
Hull Freetown - UKA00450,2024-01-21T00:07:00Z,µg/m³,2,61,6,4,2
Hull Freetown - UKA00450,2024-01-21T00:08:00Z,µg/m³,5,60,6,4,2
Hull Freetown - UKA00450,2024-01-21T00:09:00Z,µg/m³,7,60,6,4,3
Hull Freetown - UKA00450,2024-01-21T00:10:00Z,µg/m³,10,61,7,4,3
Hull Freetown - UKA00450,2024-01-21T00:11:00Z,µg/m³,8,61,7,4,3
Hull Freetown - UKA00450,2024-01-21T00:12:00Z,µg/m³,9,60,7,4,3
Hull Freetown - UKA00450,2024-01-21T00:13:00Z,µg/m³,10,59,7,4,3
Hull Freetown - UKA00450,2024-01-21T00:14:00Z,µg/m³,11,59,7,4,3
Hull Freetown - UKA00450,2024-01-21T00:15:00Z,µg/m³,16,58,7,4,3
Hull Freetown - UKA00450,2024-01-21T00:16:00Z,µg/m³,33,55,7,4,3
Hull Freetown - UKA00450,2024-01-21T00:17:00Z,µg/m³,16,54,8,4,2
Hull Freetown - UKA00450,2024-01-21T00:18:00Z,µg/m³,11,53,8,5,2
Hull Freetown - UKA00450,2024-01-21T00:19:00Z,µg/m³,8,53,9,5,2
Hull Freetown - UKA00450,2024-01-21T00:20:00Z,µg/m³,6,52,9,5,2
Hull Freetown - UKA00450,2024-01-21T00:21:00Z,µg/m³,7,53,9,5,3
Hull Freetown - UKA00450,2024-01-21T00:22:00Z,µg/m³,2,55,9,5,2
Hull Freetown - UKA00450,2024-01-21T00:23:00Z,µg/m³,1,57,9,5,2
Hull Freetown - UKA00450,2024-02-21T00:00:00Z,µg/m³,2,60,9,5,3
Hull Freetown - UKA00450,2024-02-21T00:01:00Z,µg/m³,7,62,9,5,3
Hull Freetown - UKA00450,2024-02-21T00:02:00Z,µg/m³,9,62,9,4,2
Hull Freetown - UKA00450,2024-02-21T00:03:00Z,µg/m³,11,62,9,4,3
Hull Freetown - UKA00450,2024-02-21T00:04:00Z,µg/m³,13,62,9,4,3
Hull Freetown - UKA00450,2024-02-21T00:05:00Z,µg/m³,14,60,9,4,3
Hull Freetown - UKA00450,2024-02-21T00:06:00Z,µg/m³,26,57,9,5,3
Hull Freetown - UKA00450,2024-02-21T00:07:00Z,µg/m³,21,54,10,5,3
Hull Freetown - UKA00450,2024-02-21T00:08:00Z,µg/m³,46,49,10,5,3
Hull Freetown - UKA00450,2024-02-21T00:09:00Z,µg/m³,48,43,10,5,3
Hull Freetown - UKA00450,2024-02-21T00:10:00Z,µg/m³,31,40,11,5,3
Hull Freetown - UKA00450,2024-02-21T00:11:00Z,µg/m³,32,37,11,5,3
Hull Freetown - UKA00450,2024-02-21T00:12:00Z,µg/m³,31,35,11,6,3
Hull Freetown - UKA00450,2024-02-21T00:13:00Z,µg/m³,31,33,11,6,3
Hull Freetown - UKA00450,2024-02-21T00:14:00Z,µg/m³,33,32,11,6,3
Hull Freetown - UKA00450,2024-02-21T00:15:00Z,µg/m³,50,29,11,6,3
Hull Freetown - UKA00450,2024-02-21T00:16:00Z,µg/m³,21,33,11,6,1
Hull Freetown - UKA00450,2024-02-21T00:17:00Z,µg/m³,19,40,10,6,1
Hull Freetown - UKA00450,2024-02-21T00:18:00Z,µg/m³,13,44,10,5,1
Hull Freetown - UKA00450,2024-02-21T00:20:00Z,µg/m³,12,52,9,5,1
Hull Freetown - UKA00450,2024-02-21T00:22:00Z,µg/m³,24,57,9,5,1
Hull Freetown - UKA00450,2024-02-21T00:23:00Z,µg/m³,23,61,9,5,1
Hull Freetown - UKA00450,2024-03-21T00:00:00Z,µg/m³,19,60,8,5,1
Hull Freetown - UKA00450,2024-03-21T00:01:00Z,µg/m³,17,NA,8,5,1
Hull Freetown - UKA00450,2024-03-21T00:02:00Z,µg/m³,13,56,9,5,1
Hull Freetown - UKA00450,2024-03-21T00:03:00Z,µg/m³,13,55,9,5,1
Hull Freetown - UKA00450,2024-03-21T00:04:00Z,µg/m³,11,54,9,5,1
Hull Freetown - UKA00450,2024-03-21T00:05:00Z,µg/m³,14,53,8,5,1
Hull Freetown - UKA00450,2024-03-21T00:06:00Z,µg/m³,23,52,8,5,1
Hull Freetown - UKA00450,2024-03-21T00:07:00Z,µg/m³,37,49,8,5,1
Hull Freetown - UKA00450,2024-03-21T00:08:00Z,µg/m³,57,44,8,5,2
Hull Freetown - UKA00450,2024-03-21T00:09:00Z,µg/m³,53,39,8,5,2
Hull Freetown - UKA00450,2024-03-21T00:10:00Z,µg/m³,55,33,7,5,3
Hull Freetown - UKA00450,2024-03-21T00:11:00Z,µg/m³,56,28,8,5,3
Hull Freetown - UKA00450,2024-03-21T00:12:00Z,µg/m³,50,22,9,5,3
Hull Freetown - UKA00450,2024-03-21T00:13:00Z,µg/m³,42,18,9,5,3
Hull Freetown - UKA00450,2024-03-21T00:14:00Z,µg/m³,42,15,9,5,2
Hull Freetown - UKA00450,2024-03-21T00:15:00Z,µg/m³,36,14,9,6,2
Hull Freetown - UKA00450,2024-03-21T00:16:00Z,µg/m³,35,15,9,6,2
Hull Freetown - UKA00450,2024-03-21T00:17:00Z,µg/m³,36,16,10,6,2
Hull Freetown - UKA00450,2024-03-21T00:18:00Z,µg/m³,38,17,10,6,2
Hull Freetown - UKA00450,2024-03-21T00:19:00Z,µg/m³,45,18,11,7,2
Hull Freetown - UKA00450,2024-03-21T00:20:00Z,µg/m³,42,18,11,7,2
Hull Freetown - UKA00450,2024-03-21T00:22:00Z,µg/m³,53,15,12,8,2
Hull Freetown - UKA00450,2024-03-21T00:23:00Z,µg/m³,43,15,13,9,2
Hull Freetown - UKA00450,2024-04-21T00:00:00Z,µg/m³,31,15,13,9,2
Hull Freetown - UKA00450,2024-04-21T00:02:00Z,µg/m³,21,18,14,9,1
Hull Freetown - UKA00450,2024-04-21T00:03:00Z,µg/m³,20,21,14,9,2
Hull Freetown - UKA00450,2024-04-21T00:04:00Z,µg/m³,25,23,14,9,1
Hull Freetown - UKA00450,2024-04-21T00:05:00Z,µg/m³,27,26,14,10,1
Hull Freetown - UKA00450,2024-04-21T00:06:00Z,µg/m³,22,30,14,10,1
Hull Freetown - UKA00450,2024-04-21T00:07:00Z,µg/m³,38,30,15,10,2
Hull Freetown - UKA00450,2024-04-21T00:08:00Z,µg/m³,49,28,14,10,2
Hull Freetown - UKA00450,2024-04-21T00:09:00Z,µg/m³,40,26,15,10,2
Hull Freetown - UKA00450,2024-04-21T00:10:00Z,µg/m³,38,24,14,10,2
Hull Freetown - UKA00450,2024-04-21T00:11:00Z,µg/m³,35,22,13,10,2
Hull Freetown - UKA00450,2024-04-21T00:12:00Z,µg/m³,33,22,13,9,2
Hull Freetown - UKA00450,2024-04-21T00:13:00Z,µg/m³,28,22,13,9,2
Hull Freetown - UKA00450,2024-04-21T00:14:00Z,µg/m³,28,22,13,9,2
Hull Freetown - UKA00450,2024-04-21T00:15:00Z,µg/m³,30,24,14,9,2
Hull Freetown - UKA00450,2024-04-21T00:16:00Z,µg/m³,47,24,16,9,2
Hull Freetown - UKA00450,2024-04-21T00:17:00Z,µg/m³,49,24,20,10,1
Hull Freetown - UKA00450,2024-04-21T00:18:00Z,µg/m³,62,22,24,10,3
Hull Freetown - UKA00450,2024-04-21T00:19:00Z,µg/m³,58,19,25,10,2
Hull Freetown - UKA00450,2024-04-21T00:20:00Z,µg/m³,52,16,26,10,2
Hull Freetown - UKA00450,2024-04-21T00:21:00Z,µg/m³,54,13,27,10,3
Hull Freetown - UKA00450,2024-04-21T00:22:00Z,µg/m³,47,10,27,10,2
Hull Freetown - UKA00450,2024-04-21T00:23:00Z,µg/m³,42,6,28,11,2
Hull Freetown - UKA00450,2024-05-21T00:00:00Z,µg/m³,36,5,29,11,1
Hull Freetown - UKA00450,2024-05-21T00:02:00Z,µg/m³,21,6,30,12,1
Hull Freetown - UKA00450,2024-05-21T00:03:00Z,µg/m³,14,8,31,12,1
Hull Freetown - UKA00450,2024-05-21T00:04:00Z,µg/m³,10,12,31,13,1
Hull Freetown - UKA00450,2024-05-21T00:05:00Z,µg/m³,8,16,31,13,1
Hull Freetown - UKA00450,2024-05-21T00:06:00Z,µg/m³,7,21,31,13,1
Hull Freetown - UKA00450,2024-05-21T00:07:00Z,µg/m³,8,27,31,13,1
Hull Freetown - UKA00450,2024-05-21T00:08:00Z,µg/m³,14,31,30,12,1
Hull Freetown - UKA00450,2024-05-21T00:09:00Z,µg/m³,20,34,30,12,1
Hull Freetown - UKA00450,2024-05-21T00:10:00Z,µg/m³,32,35,30,12,2
Hull Freetown - UKA00450,2024-05-21T00:11:00Z,µg/m³,20,37,30,12,1
Hull Freetown - UKA00450,2024-05-21T00:12:00Z,µg/m³,15,38,31,12,2
Hull Freetown - UKA00450,2024-05-21T00:13:00Z,µg/m³,14,38,30,12,1
Hull Freetown - UKA00450,2024-05-21T00:14:00Z,µg/m³,14,37,30,12,1
Hull Freetown - UKA00450,2024-05-21T00:15:00Z,µg/m³,20,36,29,12,1
Hull Freetown - UKA00450,2024-05-21T00:16:00Z,µg/m³,19,37,27,11,1
Hull Freetown - UKA00450,2024-05-21T00:17:00Z,µg/m³,29,37,24,11,1
Hull Freetown - UKA00450,2024-05-21T00:18:00Z,µg/m³,24,38,19,10,1
Hull Freetown - UKA00450,2024-05-21T00:19:00Z,µg/m³,16,39,18,10,1
Hull Freetown - UKA00450,2024-05-21T00:20:00Z,µg/m³,18,40,17,10,1
Hull Freetown - UKA00450,2024-05-21T00:21:00Z,µg/m³,26,39,17,10,1
Hull Freetown - UKA00450,2024-05-21T00:22:00Z,µg/m³,14,38,16,9,1
Hull Freetown - UKA00450,2024-06-21T00:00:00Z,µg/m³,15,38,15,8,1
Hull Freetown - UKA00450,2024-06-21T00:02:00Z,µg/m³,8,40,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:03:00Z,µg/m³,7,40,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:04:00Z,µg/m³,6,40,13,6,1
Hull Freetown - UKA00450,2024-06-21T00:05:00Z,µg/m³,4,42,13,6,1
Hull Freetown - UKA00450,2024-06-21T00:06:00Z,µg/m³,5,42,14,6,1
Hull Freetown - UKA00450,2024-06-21T00:07:00Z,µg/m³,7,42,14,6,1
Hull Freetown - UKA00450,2024-06-21T00:08:00Z,µg/m³,12,41,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:09:00Z,µg/m³,16,40,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:10:00Z,µg/m³,15,40,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:11:00Z,µg/m³,11,40,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:12:00Z,µg/m³,8,41,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:13:00Z,µg/m³,9,41,13,7,1
