location_name,datetimeLocal,no2,o3,pm10,pm25,so2
Hull Freetown - UKA00450,2025-01-01T02:00:00Z,5.92875,79.02972,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T05:00:00Z,8.415,70.24864,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T06:00:00Z,6.885,72.04477,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T07:00:00Z,5.54625,75.03832,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T10:00:00Z,5.54625,77.23359,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T11:00:00Z,6.5025,79.62843,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T18:00:00Z,3.25125,70.84735,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T20:00:00Z,7.65,65.45896,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T21:00:00Z,7.65,61.66713,NA,NA,NA
Hull Freetown - UKA00450,2025-01-01T23:00:00Z,9.5625,54.48261,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T00:00:00Z,53.1675,7.9828,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T02:00:00Z,49.91625,6.58581,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T03:00:00Z,42.64875,12.57291,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T13:00:00Z,27.1575,26.34324,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T20:00:00Z,17.02125,53.8839,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T21:00:00Z,13.005,58.47401,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T22:00:00Z,13.57875,54.48261,NA,NA,NA
Hull Freetown - UKA00450,2025-01-02T23:00:00Z,11.0925,58.27444,NA,NA,NA
Hull Freetown - UKA00450,2025-01-03T00:00:00Z,66.555,5.9871,NA,NA,NA
Hull Freetown - UKA00450,2025-01-03T01:00:00Z,74.205,5.58796,NA,NA,NA
Hull Freetown - UKA00450,2025-01-03T02:00:00Z,NA,36.52131,NA,NA,NA
Hull Freetown - UKA00450,2025-01-04T01:00:00Z,NA,NA,17,8,3
Hull Freetown - UKA00450,2025-01-04T03:00:00Z,NA,NA,17,8,3
Hull Freetown - UKA00450,2025-01-04T04:00:00Z,NA,NA,17,8,5
Hull Freetown - UKA00450,2025-01-04T05:00:00Z,NA,NA,17,7,1
Hull Freetown - UKA00450,2025-01-04T06:00:00Z,NA,NA,17,7,0
Hull Freetown - UKA00450,2025-01-04T07:00:00Z,NA,NA,17,8,1
Hull Freetown - UKA00450,2025-01-04T08:00:00Z,NA,NA,17,8,1
Hull Freetown - UKA00450,2025-01-04T09:00:00Z,NA,NA,16,7,1
Hull Freetown - UKA00450,2025-01-04T10:00:00Z,NA,NA,15,7,2
Hull Freetown - UKA00450,2025-01-04T11:00:00Z,NA,NA,15,7,3
Hull Freetown - UKA00450,2025-01-04T12:00:00Z,NA,NA,14,7,3
Hull Freetown - UKA00450,2025-01-04T13:00:00Z,NA,NA,14,6,1
