city,location_name,date,no2,o3,pm10,pm25,so2,year
Hull,Hull Freetown - UKA00450,1/20/2023,19.15277778,50.98611111,9.430555556,5.666666667,1.986111111,2023
Hull,Hull Freetown - UKA00450,2/20/2023,24.15277778,38.35616438,11.45205479,7.369863014,2.111111111,2023
Hull,Hull Freetown - UKA00450,3/20/2023,19.53225806,36.75806452,10.77419355,7.806451613,1.887096774,2023
Hull,Hull Freetown - UKA00450,4/20/2023,16.89552239,42.62686567,10.85074627,7.970149254,2,2023
Hull,Hull Freetown - UKA00450,5/20/2023,17.98461538,45.70769231,9.476923077,5.723076923,1.907692308,2023
Hull,Hull Freetown - UKA00450,6/20/2023,32.60869565,34.04347826,14.69565217,9.956521739,3.507246377,2023
Hull,Hull Freetown - UKA00450,7/20/2023,18.77777778,41.76388889,11.25,7.055555556,2.291666667,2023
Hull,Hull Freetown - UKA00450,8/20/2023,20.75714286,45.37142857,10.57142857,6.585714286,2.283333333,2023
Hull,Hull Freetown - UKA00450,9/20/2023,21.5,44.51428571,14.31428571,7.028571429,2.70212766,2023
Hull,Hull Freetown - UKA00450,10/20/2023,19,49.5915493,11.63380282,5.704225352,2.527272727,2023
Hull,Hull Freetown - UKA00450,11/20/2023,23.71212121,45.46969697,10.86363636,6.136363636,3.227272727,2023
Hull,Hull Freetown - UKA00450,12/20/2023,30.02222222,16.77777778,21.26666667,16.46666667,3.977777778,2023
Hull,Hull Freetown - UKA00450,1/21/2024,14.68656716,48.97014925,11.34042553,6,2.234042553,2024
Hull,Hull Freetown - UKA00450,2/21/2024,17.69014085,55.84507042,9.037735849,4.886792453,2.188679245,2024
Hull,Hull Freetown - UKA00450,3/21/2024,24.35632184,46.43023256,8.042253521,5.084507042,1.61971831,2024
Hull,Hull Freetown - UKA00450,4/21/2024,26.92405063,36.88607595,17.11594203,10.82608696,1.753623188,2024
Hull,Hull Freetown - UKA00450,5/21/2024,18.43835616,43.86111111,22.76271186,10.72881356,1.075471698,2024
Hull,Hull Freetown - UKA00450,6/21/2024,16.42647059,43.79411765,12,5.909090909,1,2024
Hull,Hull Freetown - UKA00450,7/21/2024,21.14285714,48.92207792,16.72413793,10.12068966,1.431034483,2024
Hull,Hull Freetown - UKA00450,8/21/2024,15.8625,48.925,23.18333333,14.15,1.383333333,2024
Hull,Hull Freetown - UKA00450,9/21/2024,16.91666667,54.80555556,21.57142857,12.94642857,1.553571429,2024
Hull,Hull Freetown - UKA00450,10/21/2024,20.55555556,42.38271605,20.96296296,14.11111111,1.388888889,2024
Hull,Hull Freetown - UKA00450,11/21/2024,15.30263158,53.67105263,22.65,15.08333333,1.310344828,2024
Hull,Hull Freetown - UKA00450,12/21/2024,21.46987952,44.30769231,19.65714286,11.9,1.557142857,2024
Sheffield,Sheffield Devonshire Green - UKA00575,1/20/2023,26.04347826,19.04347826,10.2173913,7.608695652,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,2/20/2023,25.11428571,17.23529412,16.08695652,13.56521739,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,3/20/2023,14.44444444,33.63888889,9.161290323,7.290322581,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,4/20/2023,27.07142857,19.45238095,9.857142857,7.833333333,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,5/20/2023,16.625,37.775,11,8.725,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,6/20/2023,28.13636364,21.09090909,13.27272727,9.704545455,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,7/20/2023,17.39130435,30.56521739,11.60869565,8.130434783,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,8/20/2023,16.09090909,38.52272727,9.954545455,6.386363636,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,9/20/2023,12.59090909,47.36363636,11.29545455,6.386363636,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,10/20/2023,14.66666667,49.4,8.355555556,4.688888889,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,11/20/2023,21.88888889,42.35555556,7.755555556,4.888888889,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,12/20/2023,29.93181818,9.477272727,16.38636364,13.04545455,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,1/21/2024,17.90769231,48.53846154,9.288888889,4.755555556,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,2/21/2024,26.98550725,39.62318841,8.960784314,6.31372549,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,3/21/2024,22.95238095,46.61904762,6.417910448,4.776119403,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,4/21/2024,25.55844156,39.06493506,10.02985075,6.701492537,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,5/21/2024,23.46511628,46.15116279,16.54545455,9.121212121,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,6/21/2024,25.33707865,35.97777778,13.95454545,9.454545455,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,7/21/2024,19.95348837,38.62790698,18.43283582,13.31343284,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,8/21/2024,19.75324675,37.24675325,19.19298246,13.10526316,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,9/21/2024,22.36111111,40.31944444,20.01785714,13.30357143,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,10/21/2024,25.5,32.3625,25.79245283,19.73584906,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,11/21/2024,19.60526316,40.31578947,19.83050847,15.91525424,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,12/21/2024,16.51898734,42.43243243,15.63265306,11.75510204,NA,2024
