city,month,year,no2,o3,pm10,pm25
Hull,2023-01-01T00:00:00Z,2023,19.15277778,50.98611111,9.430555556,5.666666667
Hull,2023-02-01T00:00:00Z,2023,24.15277778,38.35616438,11.45205479,7.369863014
Hull,2023-03-01T00:00:00Z,2023,19.53225806,36.75806452,10.77419355,7.806451613
Hull,2023-04-01T00:00:00Z,2023,16.89552239,42.62686567,10.85074627,7.970149254
Hull,2023-05-01T00:00:00Z,2023,17.98461538,45.70769231,9.476923077,5.723076923
Hull,2023-06-01T00:00:00Z,2023,32.60869565,34.04347826,14.69565217,9.956521739
Hull,2023-07-01T00:00:00Z,2023,18.77777778,41.76388889,11.25,7.055555556
Hull,2023-08-01T00:00:00Z,2023,20.75714286,45.37142857,10.57142857,6.585714286
Hull,2023-09-01T00:00:00Z,2023,21.5,44.51428571,14.31428571,7.028571429
Hull,2023-10-01T00:00:00Z,2023,19,49.5915493,11.63380282,5.704225352
Hull,2023-11-01T00:00:00Z,2023,23.71212121,45.46969697,10.86363636,6.136363636
Hull,2023-12-01T00:00:00Z,2023,30.02222222,16.77777778,21.26666667,16.46666667
Hull,2024-01-01T00:00:00Z,2024,14.68656716,48.97014925,11.34042553,6
Hull,2024-02-01T00:00:00Z,2024,17.69014085,55.84507042,9.037735849,4.886792453
Hull,2024-03-01T00:00:00Z,2024,24.35632184,46.43023256,8.042253521,5.084507042
Hull,2024-04-01T00:00:00Z,2024,26.92405063,36.88607595,17.11594203,10.82608696
Hull,2024-05-01T00:00:00Z,2024,18.43835616,43.86111111,22.76271186,10.72881356
Hull,2024-06-01T00:00:00Z,2024,16.42647059,43.79411765,12,5.909090909
Hull,2024-07-01T00:00:00Z,2024,21.14285714,48.92207792,16.72413793,10.12068966
Hull,2024-08-01T00:00:00Z,2024,15.8625,48.925,23.18333333,14.15
Hull,2024-09-01T00:00:00Z,2024,16.91666667,54.80555556,21.57142857,12.94642857
Hull,2024-10-01T00:00:00Z,2024,20.55555556,42.38271605,20.96296296,14.11111111
Hull,2024-11-01T00:00:00Z,2024,15.30263158,53.67105263,22.65,15.08333333
Hull,2024-12-01T00:00:00Z,2024,21.46987952,44.30769231,19.65714286,11.9
Hull,2025-01-01T00:00:00Z,2025,21.3479488,44.33389998,16.16891892,7.743243243
Hull,2025-02-01T00:00:00Z,2025,18.94340085,50.56974053,14.44025157,7.113207547
Hull,2025-03-01T00:00:00Z,2025,13.54888441,53.1883079,14.01941748,7.097087379
Hull,2025-04-01T00:00:00Z,2025,15.73040895,49.25767317,15.62956204,8.729927007
Hull,2025-05-01T00:00:00Z,2025,12.3545546,58.23816851,16.56302521,7.845378151
Hull,2025-06-01T00:00:00Z,2025,13.25020718,57.89148759,12.9005425,6.518987342
Hull,2025-07-01T00:00:00Z,2025,12.36549919,49.77023058,14.32881356,7.379661017
Hull,2025-08-01T00:00:00Z,2025,13.19120773,54.07568842,13.79229481,6.216080402
Hull,2025-09-01T00:00:00Z,2025,15.76807547,41.53489453,12.73754789,6.329501916
Hull,2025-10-01T00:00:00Z,2025,14.75808168,46.39565863,12.49775785,7.139013453
Hull,2025-11-01T00:00:00Z,2025,19.07405941,48.80590252,17.28301887,9.113207547
Hull,2025-12-01T00:00:00Z,2025,15.15026899,55.70155675,20.91875,12.65
Sheffield,2023-01-01T00:00:00Z,2023,26.04347826,19.04347826,10.2173913,7.608695652
Sheffield,2023-02-01T00:00:00Z,2023,25.11428571,17.23529412,16.08695652,13.56521739
Sheffield,2023-03-01T00:00:00Z,2023,14.44444444,33.63888889,9.161290323,7.290322581
Sheffield,2023-04-01T00:00:00Z,2023,27.07142857,19.45238095,9.857142857,7.833333333
Sheffield,2023-05-01T00:00:00Z,2023,16.625,37.775,11,8.725
Sheffield,2023-06-01T00:00:00Z,2023,28.13636364,21.09090909,13.27272727,9.704545455
Sheffield,2023-07-01T00:00:00Z,2023,17.39130435,30.56521739,11.60869565,8.130434783
Sheffield,2023-08-01T00:00:00Z,2023,16.09090909,38.52272727,9.954545455,6.386363636
Sheffield,2023-09-01T00:00:00Z,2023,12.59090909,47.36363636,11.29545455,6.386363636
Sheffield,2023-10-01T00:00:00Z,2023,14.66666667,49.4,8.355555556,4.688888889
Sheffield,2023-11-01T00:00:00Z,2023,21.88888889,42.35555556,7.755555556,4.888888889
Sheffield,2023-12-01T00:00:00Z,2023,29.93181818,9.477272727,16.38636364,13.04545455
Sheffield,2024-01-01T00:00:00Z,2024,17.90769231,48.53846154,9.288888889,4.755555556
Sheffield,2024-02-01T00:00:00Z,2024,26.98550725,39.62318841,8.960784314,6.31372549
Sheffield,2024-03-01T00:00:00Z,2024,22.95238095,46.61904762,6.417910448,4.776119403
