city,location_name,date,no2,o3,pm10,pm25,so2,year
Hull,Hull Freetown - UKA00450,9/20/2023,21.5,44.51428571,14.31428571,7.028571429,2.70212766,2023
Hull,Hull Freetown - UKA00450,10/20/2023,19,49.5915493,11.63380282,5.704225352,2.527272727,2023
Hull,Hull Freetown - UKA00450,11/20/2023,23.71212121,45.46969697,10.86363636,6.136363636,3.227272727,2023
Hull,Hull Freetown - UKA00450,9/21/2024,16.91666667,54.80555556,21.57142857,12.94642857,1.553571429,2024
Hull,Hull Freetown - UKA00450,10/21/2024,20.55555556,42.38271605,20.96296296,14.11111111,1.388888889,2024
Hull,Hull Freetown - UKA00450,11/21/2024,15.30263158,53.67105263,22.65,15.08333333,1.310344828,2024
Hull,Hull Freetown - UKA00450,9/1/2025,33.220125,33.368104,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,9/2/2025,9.9928125,38.11787,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,9/3/2025,18.93375,50.93192708,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,9/4/2025,NA,NA,16,8.727272727,1.363636364,2025
Hull,Hull Freetown - UKA00450,9/5/2025,NA,NA,13.86956522,6.565217391,1.272727273,2025
Hull,Hull Freetown - UKA00450,9/6/2025,16.44047619,54.96911714,16.73684211,12.63157895,1,2025
Hull,Hull Freetown - UKA00450,9/7/2025,10.7809375,47.02055667,16.30434783,6.260869565,1,2025
Hull,Hull Freetown - UKA00450,9/8/2025,14.70260417,48.49686458,12.13043478,5.826086957,1.173913043,2025
Hull,Hull Freetown - UKA00450,9/9/2025,14.95652174,45,10.95652174,4,0.652173913,2025
Hull,Hull Freetown - UKA00450,9/10/2025,19.39817708,40.96405083,13.56521739,6.608695652,1,2025
Hull,Hull Freetown - UKA00450,9/11/2025,19.00027174,25.09375826,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,9/13/2025,NA,NA,8.217391304,3.652173913,0.782608696,2025
Hull,Hull Freetown - UKA00450,9/14/2025,NA,NA,8,3,0.956521739,2025
Hull,Hull Freetown - UKA00450,9/15/2025,NA,NA,NA,NA,0.956521739,2025
Hull,Hull Freetown - UKA00450,9/16/2025,8.318181818,54.36363636,7.363636364,3.090909091,0.52173913,2025
Hull,Hull Freetown - UKA00450,9/17/2025,16.57348958,37.71028833,8.173913043,3.695652174,1.086956522,2025
Hull,Hull Freetown - UKA00450,9/18/2025,16.0971875,36.20080833,6.434782609,2.391304348,1.347826087,2025
Hull,Hull Freetown - UKA00450,9/19/2025,19.31146739,35.21430652,8.136363636,3.772727273,1,2025
Hull,Hull Freetown - UKA00450,9/20/2025,11.90909091,35.36363636,13.09090909,7.136363636,1.045454545,2025
Hull,Hull Freetown - UKA00450,9/21/2025,3.958333333,62.985145,6.608695652,3.391304348,1.043478261,2025
Hull,Hull Freetown - UKA00450,9/22/2025,11.69192708,50.88751,11,4.956521739,0.956521739,2025
Hull,Hull Freetown - UKA00450,9/23/2025,19.43478261,37.95652174,13.95652174,5.782608696,1.043478261,2025
Hull,Hull Freetown - UKA00450,9/24/2025,16.145,39.87740292,13.36363636,6.090909091,2.954545455,2025
Hull,Hull Freetown - UKA00450,9/25/2025,13.45375,42.63080708,11.73913043,5,1.173913043,2025
Hull,Hull Freetown - UKA00450,9/26/2025,17.30434783,42.82608696,15.43478261,5.652173913,1.047619048,2025
Hull,Hull Freetown - UKA00450,9/27/2025,11.235625,37.96333417,16.34782609,8.217391304,1,2025
Hull,Hull Freetown - UKA00450,9/28/2025,11.70171875,42.55426625,13.95652174,9.913043478,1.043478261,2025
Hull,Hull Freetown - UKA00450,9/29/2025,23.88723958,19.98319,19.65217391,14.47826087,1.565217391,2025
Hull,Hull Freetown - UKA00450,9/30/2025,24.96057292,30.08154167,20.7826087,9,1.130434783,2025
Hull,Hull Freetown - UKA00450,10/1/2025,40.4971875,27.34109,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,10/2/2025,6.534375,61.83343833,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,10/3/2025,12.7340625,69.21752833,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,10/4/2025,NA,NA,16.60869565,9.347826087,2.086956522,2025
Hull,Hull Freetown - UKA00450,10/5/2025,NA,NA,16,7.260869565,2.130434783,2025
Hull,Hull Freetown - UKA00450,10/6/2025,7.927941176,61.15423412,20,14.6,1.133333333,2025
Hull,Hull Freetown - UKA00450,10/7/2025,13.29734375,45.76107667,8.869565217,3.695652174,1.5,2025
Hull,Hull Freetown - UKA00450,10/8/2025,16.59151042,53.56991167,17.69565217,9.565217391,0.782608696,2025
