city,location_name,date,no2,o3,pm10,pm25,so2,year
Hull,Hull Freetown - UKA00450,3/20/2023,19.53225806,36.75806452,10.77419355,7.806451613,1.887096774,2023
Hull,Hull Freetown - UKA00450,4/20/2023,16.89552239,42.62686567,10.85074627,7.970149254,2,2023
Hull,Hull Freetown - UKA00450,5/20/2023,17.98461538,45.70769231,9.476923077,5.723076923,1.907692308,2023
Hull,Hull Freetown - UKA00450,3/21/2024,24.35632184,46.43023256,8.042253521,5.084507042,1.61971831,2024
Hull,Hull Freetown - UKA00450,4/21/2024,26.92405063,36.88607595,17.11594203,10.82608696,1.753623188,2024
Hull,Hull Freetown - UKA00450,5/21/2024,18.43835616,43.86111111,22.76271186,10.72881356,1.075471698,2024
Hull,Hull Freetown - UKA00450,3/1/2025,17.57109375,48.96948875,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,3/2/2025,32.95875,24.34754,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,3/3/2025,32.034375,44.005185,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,3/4/2025,NA,NA,25.08695652,14.60869565,1.782608696,2025
Hull,Hull Freetown - UKA00450,3/5/2025,NA,NA,15.73913043,6.782608696,1.739130435,2025
Hull,Hull Freetown - UKA00450,3/6/2025,12.26086957,64.39130435,11.52173913,5,3.217391304,2025
Hull,Hull Freetown - UKA00450,3/7/2025,9.559635417,59.03736667,6.739130435,2.869565217,1.739130435,2025
Hull,Hull Freetown - UKA00450,3/8/2025,12.27229167,48.19527,10.95652174,5.304347826,0.695652174,2025
Hull,Hull Freetown - UKA00450,3/9/2025,14.35151042,37.22227667,9.304347826,4.913043478,1,2025
Hull,Hull Freetown - UKA00450,3/10/2025,8.174166667,56.1274925,16,9.608695652,1,2025
Hull,Hull Freetown - UKA00450,3/11/2025,16.29102273,49.13957682,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,3/13/2025,12.43125,74.97962294,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,3/14/2025,11.88,60.38101222,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,3/30/2025,NA,NA,16.04545455,7.590909091,1.227272727,2025
Hull,Hull Freetown - UKA00450,3/31/2025,NA,NA,14.86956522,7.217391304,2.333333333,2025
Hull,Hull Freetown - UKA00450,4/1/2025,34.87704545,19.877172,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,4/2/2025,20.655,43.865486,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,4/3/2025,36.1845,48.89465,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,4/4/2025,NA,NA,28.22727273,15.54545455,1.727272727,2025
