Sheffield,Sheffield Devonshire Green - UKA00575,12/20/2023,29.93181818,9.477272727,16.38636364,13.04545455,NA,2023
Hull,Hull Freetown - UKA00450,6/20/2023,32.60869565,34.04347826,14.69565217,9.956521739,3.507246377,2023
Hull,Hull Freetown - UKA00450,7/20/2023,18.77777778,41.76388889,11.25,7.055555556,2.291666667,2023
Hull,Hull Freetown - UKA00450,8/20/2023,20.75714286,45.37142857,10.57142857,6.585714286,2.283333333,2023
Hull,Hull Freetown - UKA00450,6/21/2024,16.42647059,43.79411765,12,5.909090909,1,2024
Hull,Hull Freetown - UKA00450,7/21/2024,21.14285714,48.92207792,16.72413793,10.12068966,1.431034483,2024
Hull,Hull Freetown - UKA00450,8/21/2024,15.8625,48.925,23.18333333,14.15,1.383333333,2024
Hull,Hull Freetown - UKA00450,6/1/2025,14.55238636,51.45277455,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,6/2/2025,34.9605,29.017478,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,6/3/2025,31.43152174,49.29379,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,6/4/2025,NA,NA,15.81818182,7.318181818,1.454545455,2025
Hull,Hull Freetown - UKA00450,6/5/2025,NA,NA,12,5,1.772727273,2025
Hull,Hull Freetown - UKA00450,6/6/2025,16.59891304,47.2921187,6.136363636,3,1.333333333,2025
Hull,Hull Freetown - UKA00450,6/7/2025,6.907083333,40.52923042,7.043478261,3.52173913,1.173913043,2025
Hull,Hull Freetown - UKA00450,6/8/2025,14.2173913,45.65217391,15.47826087,7.217391304,0.695652174,2025
Hull,Hull Freetown - UKA00450,6/9/2025,15.47489583,32.84888917,13.82608696,7.086956522,0.739130435,2025
Hull,Hull Freetown - UKA00450,6/10/2025,17.7784375,39.61345958,12,5.652173913,1.043478261,2025
Hull,Hull Freetown - UKA00450,6/11/2025,22.96195313,17.72431063,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,6/13/2025,14.60869565,75.95652174,21.82608696,11.95652174,1.086956522,2025
Hull,Hull Freetown - UKA00450,6/14/2025,12.2625,91.92657875,19.43478261,11.34782609,1.086956522,2025
Hull,Hull Freetown - UKA00450,6/15/2025,9.08125,68.48604083,12.26086957,6.434782609,1.304347826,2025
Hull,Hull Freetown - UKA00450,6/16/2025,11.2173913,62.69565217,9.565217391,5.260869565,1.130434783,2025
Hull,Hull Freetown - UKA00450,6/17/2025,11.43478261,69.04347826,17.56521739,10.34782609,1.391304348,2025
