city,location_name,date,no2,o3,pm10,pm25,so2,year
Hull,Hull Freetown - UKA00450,1/20/2023,19.15277778,50.98611111,9.430555556,5.666666667,1.986111111,2023
Hull,Hull Freetown - UKA00450,2/20/2023,24.15277778,38.35616438,11.45205479,7.369863014,2.111111111,2023
Hull,Hull Freetown - UKA00450,12/20/2023,30.02222222,16.77777778,21.26666667,16.46666667,3.977777778,2023
Hull,Hull Freetown - UKA00450,1/21/2024,14.68656716,48.97014925,11.34042553,6,2.234042553,2024
Hull,Hull Freetown - UKA00450,2/21/2024,17.69014085,55.84507042,9.037735849,4.886792453,2.188679245,2024
Hull,Hull Freetown - UKA00450,12/21/2024,21.46987952,44.30769231,19.65714286,11.9,1.557142857,2024
Hull,Hull Freetown - UKA00450,1/1/2025,6.69375,70.567952,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/2/2025,28.4484375,34.824965,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/3/2025,70.38,16.03212333,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/4/2025,NA,NA,14.31818182,6.727272727,1.636363636,2025
Hull,Hull Freetown - UKA00450,1/5/2025,NA,NA,28.33333333,15.52380952,2.666666667,2025
Hull,Hull Freetown - UKA00450,1/6/2025,8.574427083,67.16165,10.56521739,5.130434783,2.826086957,2025
Hull,Hull Freetown - UKA00450,1/7/2025,7.2859375,61.30104125,16.39130435,7.608695652,3.52173913,2025
Hull,Hull Freetown - UKA00450,1/8/2025,3.5,57.53327615,10.46153846,3.769230769,1,2025
Hull,Hull Freetown - UKA00450,1/9/2025,10.40322917,52.17837042,11.17391304,5,0.869565217,2025
Hull,Hull Freetown - UKA00450,1/10/2025,18.43348958,32.49659583,20.43478261,9.347826087,1,2025
Hull,Hull Freetown - UKA00450,1/11/2025,14.2640625,54.62397208,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/13/2025,31.7475,23.9484,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/14/2025,43.700625,13.470975,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/15/2025,44.465625,6.286455,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/16/2025,35.50875,7.317566667,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/17/2025,34.9509375,18.22739333,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/18/2025,27.14839286,24.79419667,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/19/2025,23.76964286,26.43827333,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/20/2025,28.3475,17.25171778,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/21/2025,43.9078125,14.38718273,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/22/2025,40.79710227,10.29599773,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/23/2025,35.19869318,27.54066,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/24/2025,15.8238587,67.9926313,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/25/2025,27.75619565,48.57360261,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/26/2025,12.20015625,59.08935083,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/27/2025,17.34554348,66.04935458,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/28/2025,15.714375,60.769065,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/29/2025,20.5115625,49.29379,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/30/2025,24.384375,50.311597,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,1/31/2025,33.405,33.06209667,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/1/2025,10.678125,54.88175,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/2/2025,25.13025,38.616795,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/3/2025,36.52875,45.43543667,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/4/2025,NA,NA,15.73913043,7.608695652,1.869565217,2025
Hull,Hull Freetown - UKA00450,2/5/2025,NA,NA,22.45454545,12.31818182,2.227272727,2025
Hull,Hull Freetown - UKA00450,2/6/2025,10.6375,63.72808375,9.173913043,4.347826087,2.652173913,2025
Hull,Hull Freetown - UKA00450,2/7/2025,6.903229167,63.27725958,13.08695652,5.608695652,2.043478261,2025
Hull,Hull Freetown - UKA00450,2/8/2025,6.213333333,54.83161542,9.272727273,3.045454545,0.5,2025
Hull,Hull Freetown - UKA00450,2/9/2025,16.34782609,37.2173913,11.30434783,5,0.956521739,2025
Hull,Hull Freetown - UKA00450,2/10/2025,15.34782609,39.86956522,20.17391304,11.91304348,1,2025
Hull,Hull Freetown - UKA00450,2/11/2025,18.93375,40.85364208,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/13/2025,19.2525,64.62266667,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/14/2025,23.83972826,56.99025043,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/15/2025,20.6709375,39.38181333,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/16/2025,14.8059375,52.35386333,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/17/2025,14.59320652,62.19642435,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/18/2025,21.93796875,53.12719708,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/19/2025,26.30934783,36.22629348,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/20/2025,23.89828125,42.89091917,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/21/2025,10.51875,60.52791792,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/22/2025,31.231125,43.5561525,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/23/2025,15.33984375,55.8297075,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/24/2025,24.078375,60.27014,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/25/2025,25.69125,56.44504833,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/26/2025,36.37575,29.9355,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/27/2025,9.24375,64.82698833,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,2/28/2025,43.695,33.16383824,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,12/1/2025,43.509375,8.0326925,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,12/2/2025,15.99545455,46.84452182,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,12/3/2025,12.65576087,63.73224565,NA,NA,NA,2025
Hull,Hull Freetown - UKA00450,12/4/2025,NA,NA,36.86956522,23.82608696,2.47826087,2025
Hull,Hull Freetown - UKA00450,12/5/2025,NA,NA,22.47826087,12.82608696,1.434782609,2025
Hull,Hull Freetown - UKA00450,12/6/2025,11.68828125,86.30084625,19.31818182,11,1.227272727,2025
Hull,Hull Freetown - UKA00450,12/7/2025,3.479947917,61.25803083,13.86956522,7.913043478,0.0625,2025
Hull,Hull Freetown - UKA00450,12/8/2025,22.95010417,76.76009125,25.39130435,14.86956522,0.782608696,2025
Hull,Hull Freetown - UKA00450,12/9/2025,15.65068182,28.815657,8.47826087,4,1.782608696,2025
Hull,Hull Freetown - UKA00450,12/10/2025,19.93505208,18.50822583,19.95652174,14.04347826,1.391304348,2025
Hull,Hull Freetown - UKA00450,12/11/2025,14.40259615,47.37484769,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/20/2023,26.04347826,19.04347826,10.2173913,7.608695652,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,2/20/2023,25.11428571,17.23529412,16.08695652,13.56521739,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,12/20/2023,29.93181818,9.477272727,16.38636364,13.04545455,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,1/21/2024,17.90769231,48.53846154,9.288888889,4.755555556,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,2/21/2024,26.98550725,39.62318841,8.960784314,6.31372549,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,12/21/2024,16.51898734,42.43243243,15.63265306,11.75510204,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,1/1/2025,10.44225,59.07272,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/2/2025,19.10109375,44.84623,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/3/2025,54.25125,0,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/4/2025,NA,NA,14.95454545,7.5,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/5/2025,NA,NA,21.19047619,11.76190476,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/6/2025,2.443072917,65.27752833,8.869565217,4.434782609,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/7/2025,8.0075,50.26188292,11.34782609,5.304347826,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/8/2025,7.47826087,42.2173913,7.913043478,4.826086957,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/9/2025,7.7415625,49.14510875,9.130434783,4.52173913,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/10/2025,23.18755208,23.50706125,12.26086957,7.391304348,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/11/2025,12.12046875,52.76131875,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/13/2025,20.368125,36.12217,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/14/2025,36.751875,27.00847333,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/15/2025,45.613125,15.76603,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/16/2025,48.00375,17.9613,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/17/2025,21.5953125,36.221955,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/18/2025,18.38732143,33.66080667,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/19/2025,20.95553571,28.55751667,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/20/2025,35.53265625,24.10639292,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/21/2025,20.53421053,33.088706,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/22/2025,30.56522727,18.92286455,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/23/2025,20.83755682,39.60557364,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/24/2025,9.188315217,64.57391043,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/25/2025,20.52195652,46.10934696,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/26/2025,18.09703125,45.26081292,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/27/2025,15.49921875,59.31386708,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/28/2025,22.44,43.77235333,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/29/2025,16.351875,53.384975,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/30/2025,18.149625,53.963728,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,1/31/2025,19.603125,45.50196,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/1/2025,21.93,44.204755,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/2/2025,23.351625,40.353054,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/3/2025,30.855,39.24876667,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/4/2025,NA,NA,15.43478261,9.130434783,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/5/2025,NA,NA,17.18181818,9.818181818,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/6/2025,2.359739583,68.44455333,8.956521739,4.043478261,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/7/2025,6.623385417,52.90351375,12.2173913,5.739130435,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/8/2025,8.3825,45.42998292,6,3.130434783,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/9/2025,10.69565217,42.82608696,8.260869565,4,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/10/2025,15.52173913,33.30434783,14.04347826,9.086956522,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/11/2025,11.0925,46.53307167,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/13/2025,21.91178571,51.16594667,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/14/2025,26.27608696,46.13537783,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/15/2025,31.3171875,20.31456292,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/16/2025,22.14515625,31.45722125,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/17/2025,24.61304348,39.02027348,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/18/2025,29.65206522,31.41058261,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/19/2025,37.46005435,13.9091613,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/20/2025,14.8696875,46.49981,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/21/2025,11.5228125,55.181105,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/22/2025,14.1811875,55.2908685,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/23/2025,9.60234375,57.8753,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/24/2025,13.8369375,64.042013,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/25/2025,12.845625,62.565195,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/26/2025,23.29425,39.355204,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/27/2025,7.681875,55.779815,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,2/28/2025,47.4778125,16.79714167,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/1/2025,33.6121875,21.9028075,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/2/2025,20.58545455,29.73593,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/3/2025,14.42427632,56.6279875,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/4/2025,NA,NA,31.17391304,14.69565217,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/5/2025,NA,NA,20.43478261,12.43478261,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/6/2025,2.004431818,87.32159174,17.68181818,10.31818182,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/7/2025,13.07010417,61.934715,14.26086957,7.130434783,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/8/2025,24.60015625,70.01751083,24.30434783,13.95652174,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/9/2025,7.050989583,44.037725,5.52173913,3,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/10/2025,26.30755208,13.45833333,17.2173913,12.65217391,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,12/11/2025,10.81298077,51.50441154,NA,NA,NA,2025
