location_name,parameter,value,unit,datetimeLocal
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/23/2023 2:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/23/2023 3:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/23/2023 4:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/23/2023 5:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/23/2023 6:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/23/2023 7:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/23/2023 8:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/23/2023 9:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/23/2023 10:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/23/2023 11:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/23/2023 12:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/23/2023 13:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/23/2023 14:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/23/2023 15:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/23/2023 16:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/23/2023 17:00
Sheffield Devonshire Green - UKA00575,no2,8,µg/m³,12/23/2023 18:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/23/2023 19:00
Sheffield Devonshire Green - UKA00575,no2,7,µg/m³,12/23/2023 20:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/23/2023 21:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/23/2023 22:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/23/2023 23:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/24/2023 0:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 2:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 3:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/24/2023 4:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/24/2023 5:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/24/2023 6:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 7:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/24/2023 8:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/24/2023 9:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/24/2023 10:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 11:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 12:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 13:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/24/2023 14:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 15:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/24/2023 16:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/24/2023 17:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 18:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 19:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 20:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 22:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/24/2023 23:00
Sheffield Devonshire Green - UKA00575,no2,2,µg/m³,12/25/2023 0:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/25/2023 2:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/25/2023 3:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/25/2023 4:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/25/2023 5:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/25/2023 6:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/25/2023 7:00
Sheffield Devonshire Green - UKA00575,no2,3,µg/m³,12/25/2023 8:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/25/2023 9:00
Sheffield Devonshire Green - UKA00575,no2,6,µg/m³,12/25/2023 10:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/25/2023 11:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/25/2023 12:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/25/2023 13:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/25/2023 14:00
Sheffield Devonshire Green - UKA00575,no2,5,µg/m³,12/25/2023 15:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/25/2023 16:00
Sheffield Devonshire Green - UKA00575,no2,4,µg/m³,12/25/2023 17:00
