location_name,datetimeLocal,unit,no2,o3,pm10,pm25
Sheffield Devonshire Green - UKA00575,2011-02-20T23:11:00Z,µg/m³,29,NA,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:13:00Z,µg/m³,15,37,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:14:00Z,µg/m³,15,35,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:15:00Z,µg/m³,13,36,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:16:00Z,µg/m³,17,37,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:17:00Z,µg/m³,17,38,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:18:00Z,µg/m³,17,39,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:19:00Z,µg/m³,15,41,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:20:00Z,µg/m³,13,41,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:21:00Z,µg/m³,10,41,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:22:00Z,µg/m³,8,42,NA,NA
Sheffield Devonshire Green - UKA00575,2011-02-20T23:23:00Z,µg/m³,8,42,NA,NA
Sheffield Devonshire Green - UKA00575,2011-03-20T23:00:00Z,µg/m³,5,44,NA,NA
Sheffield Devonshire Green - UKA00575,2011-03-20T23:02:00Z,µg/m³,4,48,NA,NA
Sheffield Devonshire Green - UKA00575,2011-03-20T23:03:00Z,µg/m³,4,49,NA,NA
Sheffield Devonshire Green - UKA00575,2011-03-20T23:04:00Z,µg/m³,3,51,NA,NA
Sheffield Devonshire Green - UKA00575,2011-03-20T23:05:00Z,µg/m³,3,52,NA,NA
Sheffield Devonshire Green - UKA00575,2011-03-20T23:06:00Z,µg/m³,4,53,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:07:00Z,µg/m³,7,53,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:08:00Z,µg/m³,11,52,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:09:00Z,µg/m³,10,51,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:10:00Z,µg/m³,9,51,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:11:00Z,µg/m³,10,50,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:12:00Z,µg/m³,9,49,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:13:00Z,µg/m³,9,48,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:14:00Z,µg/m³,9,47,4,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:15:00Z,µg/m³,9,47,4,2
Sheffield Devonshire Green - UKA00575,2011-03-20T23:16:00Z,µg/m³,11,47,4,2
Sheffield Devonshire Green - UKA00575,2011-03-20T23:17:00Z,µg/m³,16,46,4,2
Sheffield Devonshire Green - UKA00575,2011-03-20T23:18:00Z,µg/m³,15,45,4,2
Sheffield Devonshire Green - UKA00575,2011-03-20T23:19:00Z,µg/m³,18,44,5,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:20:00Z,µg/m³,19,43,5,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:21:00Z,µg/m³,19,41,5,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:22:00Z,µg/m³,23,39,6,3
Sheffield Devonshire Green - UKA00575,2011-03-20T23:23:00Z,µg/m³,23,38,6,3
Sheffield Devonshire Green - UKA00575,2011-04-20T23:00:00Z,µg/m³,15,36,6,4
Sheffield Devonshire Green - UKA00575,2011-04-20T23:02:00Z,µg/m³,14,34,6,4
Sheffield Devonshire Green - UKA00575,2011-04-20T23:03:00Z,µg/m³,14,33,6,4
Sheffield Devonshire Green - UKA00575,2011-04-20T23:04:00Z,µg/m³,13,32,7,4
Sheffield Devonshire Green - UKA00575,2011-04-20T23:05:00Z,µg/m³,13,32,7,4
Sheffield Devonshire Green - UKA00575,2011-04-20T23:06:00Z,µg/m³,11,31,7,5
Sheffield Devonshire Green - UKA00575,2011-04-20T23:07:00Z,µg/m³,12,30,8,5
Sheffield Devonshire Green - UKA00575,2011-04-20T23:08:00Z,µg/m³,19,28,8,5
Sheffield Devonshire Green - UKA00575,2011-04-20T23:09:00Z,µg/m³,20,26,8,6
Sheffield Devonshire Green - UKA00575,2011-04-20T23:10:00Z,µg/m³,24,24,9,6
Sheffield Devonshire Green - UKA00575,2011-04-20T23:11:00Z,µg/m³,27,22,9,6
Sheffield Devonshire Green - UKA00575,2011-04-20T23:12:00Z,µg/m³,22,22,9,6
