city,month,year,date,pollutant,monthly_mean
Hull,2023-01-01T00:00:00Z,2023,1/1/2023,no2,19.15277778
Hull,2023-01-01T00:00:00Z,2023,1/1/2023,o3,50.98611111
Hull,2023-01-01T00:00:00Z,2023,1/1/2023,pm10,9.430555556
Hull,2023-01-01T00:00:00Z,2023,1/1/2023,pm25,5.666666667
Hull,2023-02-01T00:00:00Z,2023,2/1/2023,no2,24.15277778
Hull,2023-02-01T00:00:00Z,2023,2/1/2023,o3,38.35616438
Hull,2023-02-01T00:00:00Z,2023,2/1/2023,pm10,11.45205479
Hull,2023-02-01T00:00:00Z,2023,2/1/2023,pm25,7.369863014
Hull,2023-03-01T00:00:00Z,2023,3/1/2023,no2,19.53225806
Hull,2023-03-01T00:00:00Z,2023,3/1/2023,o3,36.75806452
Hull,2023-03-01T00:00:00Z,2023,3/1/2023,pm10,10.77419355
Hull,2023-03-01T00:00:00Z,2023,3/1/2023,pm25,7.806451613
Hull,2023-04-01T00:00:00Z,2023,4/1/2023,no2,16.89552239
Hull,2023-04-01T00:00:00Z,2023,4/1/2023,o3,42.62686567
Hull,2023-04-01T00:00:00Z,2023,4/1/2023,pm10,10.85074627
Hull,2023-04-01T00:00:00Z,2023,4/1/2023,pm25,7.970149254
Hull,2023-05-01T00:00:00Z,2023,5/1/2023,no2,17.98461538
Hull,2023-05-01T00:00:00Z,2023,5/1/2023,o3,45.70769231
Hull,2023-05-01T00:00:00Z,2023,5/1/2023,pm10,9.476923077
Hull,2023-05-01T00:00:00Z,2023,5/1/2023,pm25,5.723076923
Hull,2023-06-01T00:00:00Z,2023,6/1/2023,no2,32.60869565
Hull,2023-06-01T00:00:00Z,2023,6/1/2023,o3,34.04347826
Hull,2023-06-01T00:00:00Z,2023,6/1/2023,pm10,14.69565217
Hull,2023-06-01T00:00:00Z,2023,6/1/2023,pm25,9.956521739
Hull,2023-07-01T00:00:00Z,2023,7/1/2023,no2,18.77777778
Hull,2023-07-01T00:00:00Z,2023,7/1/2023,o3,41.76388889
Hull,2023-07-01T00:00:00Z,2023,7/1/2023,pm10,11.25
Hull,2023-07-01T00:00:00Z,2023,7/1/2023,pm25,7.055555556
Hull,2023-08-01T00:00:00Z,2023,8/1/2023,no2,20.75714286
Hull,2023-08-01T00:00:00Z,2023,8/1/2023,o3,45.37142857
Hull,2023-08-01T00:00:00Z,2023,8/1/2023,pm10,10.57142857
Hull,2023-08-01T00:00:00Z,2023,8/1/2023,pm25,6.585714286
Hull,2023-09-01T00:00:00Z,2023,9/1/2023,no2,21.5
Hull,2023-09-01T00:00:00Z,2023,9/1/2023,o3,44.51428571
Hull,2023-09-01T00:00:00Z,2023,9/1/2023,pm10,14.31428571
Hull,2023-09-01T00:00:00Z,2023,9/1/2023,pm25,7.028571429
Hull,2023-10-01T00:00:00Z,2023,10/1/2023,no2,19
Hull,2023-10-01T00:00:00Z,2023,10/1/2023,o3,49.5915493
Hull,2023-10-01T00:00:00Z,2023,10/1/2023,pm10,11.63380282
Hull,2023-10-01T00:00:00Z,2023,10/1/2023,pm25,5.704225352
Hull,2023-11-01T00:00:00Z,2023,11/1/2023,no2,23.71212121
Hull,2023-11-01T00:00:00Z,2023,11/1/2023,o3,45.46969697
Hull,2023-11-01T00:00:00Z,2023,11/1/2023,pm10,10.86363636
Hull,2023-11-01T00:00:00Z,2023,11/1/2023,pm25,6.136363636
Hull,2023-12-01T00:00:00Z,2023,12/1/2023,no2,30.02222222
Hull,2023-12-01T00:00:00Z,2023,12/1/2023,o3,16.77777778
Hull,2023-12-01T00:00:00Z,2023,12/1/2023,pm10,21.26666667
Hull,2023-12-01T00:00:00Z,2023,12/1/2023,pm25,16.46666667
Hull,2024-01-01T00:00:00Z,2024,1/1/2024,no2,14.68656716
Hull,2024-01-01T00:00:00Z,2024,1/1/2024,o3,48.97014925
Hull,2024-01-01T00:00:00Z,2024,1/1/2024,pm10,11.34042553
Hull,2024-01-01T00:00:00Z,2024,1/1/2024,pm25,6
Hull,2024-02-01T00:00:00Z,2024,2/1/2024,no2,17.69014085
Hull,2024-02-01T00:00:00Z,2024,2/1/2024,o3,55.84507042
Hull,2024-02-01T00:00:00Z,2024,2/1/2024,pm10,9.037735849
Hull,2024-02-01T00:00:00Z,2024,2/1/2024,pm25,4.886792453
Hull,2024-03-01T00:00:00Z,2024,3/1/2024,no2,24.35632184
Hull,2024-03-01T00:00:00Z,2024,3/1/2024,o3,46.43023256
Hull,2024-03-01T00:00:00Z,2024,3/1/2024,pm10,8.042253521
Hull,2024-03-01T00:00:00Z,2024,3/1/2024,pm25,5.084507042
Hull,2024-04-01T00:00:00Z,2024,4/1/2024,no2,26.92405063
Hull,2024-04-01T00:00:00Z,2024,4/1/2024,o3,36.88607595
Hull,2024-04-01T00:00:00Z,2024,4/1/2024,pm10,17.11594203
Hull,2024-04-01T00:00:00Z,2024,4/1/2024,pm25,10.82608696
Hull,2024-05-01T00:00:00Z,2024,5/1/2024,no2,18.43835616
Hull,2024-05-01T00:00:00Z,2024,5/1/2024,o3,43.86111111
Hull,2024-05-01T00:00:00Z,2024,5/1/2024,pm10,22.76271186
Hull,2024-05-01T00:00:00Z,2024,5/1/2024,pm25,10.72881356
Hull,2024-06-01T00:00:00Z,2024,6/1/2024,no2,16.42647059
Hull,2024-06-01T00:00:00Z,2024,6/1/2024,o3,43.79411765
Hull,2024-06-01T00:00:00Z,2024,6/1/2024,pm10,12
Hull,2024-06-01T00:00:00Z,2024,6/1/2024,pm25,5.909090909
Hull,2024-07-01T00:00:00Z,2024,7/1/2024,no2,21.14285714
Hull,2024-07-01T00:00:00Z,2024,7/1/2024,o3,48.92207792
Hull,2024-07-01T00:00:00Z,2024,7/1/2024,pm10,16.72413793
Hull,2024-07-01T00:00:00Z,2024,7/1/2024,pm25,10.12068966
Hull,2024-08-01T00:00:00Z,2024,8/1/2024,no2,15.8625
Hull,2024-08-01T00:00:00Z,2024,8/1/2024,o3,48.925
Hull,2024-08-01T00:00:00Z,2024,8/1/2024,pm10,23.18333333
Hull,2024-08-01T00:00:00Z,2024,8/1/2024,pm25,14.15
